space_name,address,postcode,brand,checkin,checkout
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,ANAHITA MADANI EVENT,2026-05-22,2026-05-26
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Leonica London,2026-05-01,2026-05-31
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Sabah House London's first archive sale,2026-05-28,2026-05-31
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,A CULTURAL MOMENT PART 1,2026-05-28,2026-06-01
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Alex Chen Consulting,2026-05-27,2026-06-01
"The Sidings, Waterloo — The Large Retail Space (G18)",G18 The Sidings Waterloo,SE1 7LY,UK-China Culture Arts Exchange Center,2026-05-23,2026-06-05
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Barrier hotline consumer activation,2026-06-05,2026-06-07
Eastcastle Street - The Grand Store,36 Eastcastle Street,W1W 8DP,YUGU Shoreditch,2026-06-04,2026-06-07
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,RIXO,2026-06-02,2026-06-08
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,Robin Hunter Blake,2026-06-03,2026-06-09
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,GARNIER & LINKER,2026-06-02,2026-06-12
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Creator Commerce IRL,2026-06-09,2026-06-12
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Akino ltd,2026-06-13,2026-06-15
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Mowalola,2026-06-13,2026-06-15
"The Sidings, Waterloo — The Retail Space (UG07)",UG07 The Sidings Waterloo,SE1 7LY,K-pop Korner London,2026-05-21,2026-06-18
"Kingsland Road, Dalston - The Raw Glass Shop",259 Kingsland Road,E2 8AS,Peytie Sarfeh,2026-06-19,2026-06-21
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Condiment Pop Up,2026-06-08,2026-06-21
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,By Viktorija,2026-06-16,2026-06-22
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Sweats Collective - London Pop-up,2026-06-16,2026-06-22
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,One day student pop up,2026-06-24,2026-06-25
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,DELAR Exhbition,2026-06-26,2026-06-28
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,CAPALA,2026-06-26,2026-06-28
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,RPM - Beauty Pop Up,2026-06-24,2026-06-29
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Olive Oil Pop Up,2026-06-01,2026-06-30
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Be stream tech shop,2026-06-30,2026-07-02
"The Sidings, Waterloo — The Retail Space (UG10)","The Sidings, Waterloo — UG10 Waterloo Waterloo",SE1 7LY,House of Spells,2025-07-03,2026-07-03
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,It's Girls Powder,2026-07-03,2026-07-05
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Instant Swim Pop Up,2026-07-01,2026-07-07
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Linda Farrow,2026-07-06,2026-07-12
"The Sidings, Waterloo — The Retail Space (UG07)",UG07 The Sidings Waterloo,SE1 7LY,K-pop Korner London,2026-06-19,2026-07-12
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Minka Dink London,2026-06-22,2026-07-13
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Akiture London,2026-07-08,2026-07-13
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,L.R GRANDDAUGHTERS,2026-07-16,2026-07-17
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Dye Lab,2026-07-14,2026-07-20
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,33-mm,2026-07-14,2026-07-20
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Motornio,2026-07-08,2026-07-20
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Barbie - Estate Agent Pop Up,2026-07-21,2026-07-27
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Pepsi Ice Cream Parlour,2026-07-22,2026-07-28
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Barbie - Estate Agent Pop Up,2026-07-28,2026-07-29
"The Sidings, Waterloo — The White Box Retail Space (UG11)",UG11 The Sidings Waterloo,SE1 7LY,Animate/ JPT EUROPE LTD,2026-02-01,2026-07-31
"Kingsland Road, Shoreditch – The Blue Vintage Shop",17b Kingsland Road,E2 8AA,Junkies,2026-05-06,2026-07-31
